Country,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Italy,0,0,0,0,0,0,0,0,0,0,,,,,,
Jamaica,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,12,12,13,13,13,14,14,14,15,15,15,16,16,16,16,17
Kiribati,35,35,35,35,36,37,38,39,41,42,43,44,45,46,48,49
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic,22,25,27,30,32,35,37,40,43,45,48,51,54,56,59,62
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46
Liberia,42,43,44,45,45,46,47,48,49,50,50,51,52,53,54,55
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,44,44,43,43,42,42,42,41,41,41,40,40,39,39,38,38
Malawi,6,7,8,8,9,10,10,11,11,12,13,13,14,14,15,16
Malaysia,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2
Maldives,0,0,0,0,0,0,0,2,4,5,7,9,11,13,15,18
Mali,8,9,10,11,11,12,13,14,15,16,17,18,19,20,21,22
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,
Mauritania,30,31,32,34,35,36,37,39,40,41,42,44,45,46,48,49
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,2,2,3,3,4,4,5,6,6,7,7,8,9,9,10,10
Micronesia (Federated States of),,10,10,10,10,10,10,10,10,10,,,,,,
Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,10,10,10,11,11,11,12,12,12,13,13,14,14,15,15,16
Montenegro,0,0,0,0,0,0,0,0,0,0,,,,,,
Morocco,8,8,8,9,10,11,13,14,15,17,18,19,21,22,23,24
Mozambique,36,37,39,40,42,43,44,46,47,48,50,51,53,54,55,57
Myanmar,5,5,5,5,5,6,6,7,7,8,8,9,10,10,11,11
Namibia,50,50,51,51,51,52,52,53,53,54,54,54,55,55,56,56
Nauru,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1
Nepal,30,32,34,37,39,41,44,46,48,50,53,55,57,60,62,65
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,7,8,8,9,9,10,10,11,12,12,13,13,14,15,15,16
Niger,71,72,73,74,74,75,76,76,77,78,78,79,80,80,81,82
Nigeria,26,25,25,25,25,25,24,24,24,24,24,23,23,23,23,23
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,0,0,0,1,2,3,4,5,6,7,7,8,9,10,11,11
Pakistan,12,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,3,4,4,4,4,5,5,5,6,6,6,6,7,7,7,8
Papua New Guinea,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Paraguay,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Peru,7,8,9,9,10,11,12,12,13,14,15,16,16,17,18,19
Philippines,6,6,7,7,7,8,8,8,9,9,9,10,10,11,11,11
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Republic of Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Republic of Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,0,0,0,0,0,0,0,0,0,0,,,,,,
Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4
Saint Kitts and Nevis,,,0,0,0,0,0,1,1,1,2,2,2,3,3,3
Saint Lucia,1,1,1,2,3,4,5,6,7,8,9,10,11,11,11,11
Saint Vincent and the Grenadines,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,50,51,53,54,55,57,58,60,61,62,64,65,66,68,69,71
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,15,16,16,17,18,18,19,19,20,21,21,22,22,23,24,24
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Sierra Leone,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,41,41,43,45,47,49,51,54,56,58,60,62,62,63,63,63
Somalia,39,40,42,43,44,45,46,48,49,50,51,53,54,55,56,58
South Africa,2,3,3,4,5,5,6,7,7,8,9,10,10,11,12,13
South Sudan,61,63,66,68,70,,,,,,,,,,,
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
Sudan,27,29,31,33,36,38,40,42,44,46,49,51,51,51,51,51
Suriname,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,8
Swaziland,11,12,13,13,14,15,16,17,18,18,19,20,21,22,22,23
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
Tajikistan,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Thailand,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
TFYR Macedonia,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste,24,24,24,24,26,28,30,32,34,35,37,39,41,43,,
Togo,51,51,52,52,53,53,54,54,55,55,55,56,56,57,57,58
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,1,1,2,2,3,3,4,5,6,6,7,8,8,9,10,11
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Tuvalu,7,7,7,6,6,5,5,5,4,4,4,4,4,4,4,
Uganda,6,7,7,8,9,9,10,10,11,12,12,13,14,14,15,15
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Republic of Tanzania,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10
United States of America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Venezuela (Bolivarian Republic of),5,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9
Viet Nam,4,5,6,6,7,8,9,10,11,12,13,14,15,16,17,18
Yemen,20,21,21,22,23,24,24,25,26,26,27,28,29,29,30,30
Zambia,15,16,16,17,18,18,19,19,20,20,21,22,22,23,24,24
Zimbabwe,26,27,27,27,27,27,28,28,28,28,28,28,29,29,29,29
