Countries,Population,Total,Certain infectious and parasitic diseases,Neoplasms,Diseases of blood and disorders of immune mechanism,Endocrine nutritional and metabolic diseases,Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,Pregnancy childbirth and the puerperium,Conditions originating in the perinatal period,Congenital malformations deformations and  abnormalities,Symptoms signs and abnormal clinical and laboratory findings,External causes of morbidity and mortality,Intestinal infectious diseases,Tuberculosis,Tetanus,Diphtheria,Whooping cough,Meningococcal infection,Septicaemia,Infections with a predominantly sexual mode of transmission (excluding HIV),Poliomyelitis,Measles,Viral hepatitis,Human immunodeficiency virus [HIV] disease,Malaria,Total of malignant neoplams,Malignant neoplasm of lip oral cavity and pharynx,Malignant neoplasm of oesophagus,Malignant neoplasm of stomach,Malignant neoplasm of colon rectosigmoid junction rectum anus and anal canal,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of pancreas,Malignant neoplasm of trachea bronchus and lung,Melanoma and other skin cancers,Malignant neoplasm of  breast,Malignant neoplasm of cervix uteri,Malignant neoplasm of corpus uteri,Malignant neoplasm of ovary,Malignant neoplasm of prostate,Malignant neoplasm of bladder,Malignant neoplasm of lymphomas and multiple myeloma,Leukaemia,Benign neoplasms,Anaemias,Diabetes mellitus,Malnutrition,Alzheimer and other dementias,Acute rheumatic fever and chronic rheumatic heart diseases,Hypertensive diseases,Ischaemic heart diseases,Cerebrovascular diseases,Diseases of arteries arterioles and capillaries,Influenza,Pneumonia,Chronic lower respiratory diseases,Gastric and duodenal ulcer,Diseases of the liver,Disorders of kidney and ureter,Hyperplasia of prostate,Pregnancy with abortive outcome,Other direct obstetric causes,Indirect obstetric causes,Transport accidents,Falls,Accidental drowning and submersion,Exposure to smoke fire and flames,Accidental poisoning by and exposure to noxious substances,Intentional self-harm,Assault,All other external causes
Austria,8361069,77199,648,20379,159,3998,855,2467,1,3,33196,4216,3111,62,259,1279,1,178,258,1929,4200,56,38,0,0,0,7,86,1,16,0,280,44,0,19757,481,330,857,2146,839,1488,3652,465,1502,161,248,438,1125,490,935,743,622,79,3011,1,1189,175,3636,14941,5143,1472,1,1118,2678,172,1592,1106,5,0,1,0,577,878,43,39,29,1264,45,1325 
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bahamas,360830,2023,147,388,17,135,9,39,0,0,690,112,86,18,7,53,5,32,13,39,233,5,2,0,0,0,1,35,0,0,0,0,102,0,376,9,16,17,30,7,9,36,3,67,15,8,7,47,3,25,11,12,12,101,2,9,3,194,174,149,22,0,68,21,9,37,32,1,0,5,0,55,7,20,6,5,10,102,28 
Bahrain,1228285,2401,75,239,48,296,13,48,0,0,797,100,53,26,11,113,1,36,42,322,181,6,8,0,0,0,0,43,0,0,0,9,5,0,229,8,2,12,17,13,16,40,2,31,4,2,1,7,4,15,13,10,36,247,5,4,3,193,90,62,8,0,22,30,5,26,90,1,0,1,0,84,0,0,0,0,19,0,78 
Barbados,279566,2265,91,535,24,195,56,52,0,0,659,196,83,32,25,96,0,32,19,50,120,7,0,0,0,0,0,57,0,0,0,1,10,0,515,20,6,19,73,8,30,27,0,61,17,11,10,108,10,30,18,20,15,156,5,63,2,87,160,217,17,0,52,15,3,22,45,8,0,0,0,23,2,2,1,1,3,28,60 
Belarus,9490583,137132,1191,18443,76,414,1395,1458,1,7,73900,3540,5251,96,170,972,1,175,272,15489,14281,3,776,0,0,0,13,55,0,0,0,20,242,0,18181,713,345,2259,2290,372,809,3280,,1217,336,316,478,855,383,525,605,262,26,313,6,,370,401,51933,17222,,16,1004,2189,303,3163,,,0,1,0,1462,1107,1314,517,3427,2462,517,3475 
Belgium,10839905,105152,2506,28312,383,2746,3761,4679,1,1,32190,10872,4415,273,448,2427,8,208,258,5013,6651,407,57,2,0,1,9,1209,3,10,0,99,58,2,27368,521,735,723,2944,826,1602,6720,416,2351,163,372,696,1515,926,1267,974,944,200,1623,174,5557,281,979,9310,7113,1455,25,3541,4546,231,1360,1710,23,1,5,1,900,1525,71,83,230,2013,117,1712 
Belize,321609,1557,161,178,27,186,7,44,0,0,326,132,66,8,10,48,5,43,30,23,262,11,13,0,0,0,0,23,0,0,0,2,104,0,171,3,0,12,8,19,7,16,2,11,23,5,1,14,0,6,8,7,17,148,17,7,1,53,120,83,4,0,61,41,3,40,41,3,0,5,0,47,14,28,6,6,15,115,31 
Bermuda,,460,9,134,2,24,0,21,0,0,123,57,26,1,1,16,0,2,1,11,32,0,0,0,0,0,0,7,0,0,0,0,1,0,134,5,4,3,14,7,6,15,4,10,1,3,0,14,6,13,1,0,1,19,0,15,0,7,48,28,9,0,35,5,0,8,13,0,0,0,0,10,1,3,0,4,3,6,5 
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bosnia and Herzegovina,3843126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brazil,198614208,1136946,48814,178994,6270,70271,12463,25302,31,125,326345,119103,58053,3225,4541,24519,1728,23653,10075,79562,143440,4609,5077,125,2,18,473,12979,138,48,0,2924,12149,76,175652,6733,7645,13401,13344,7721,7440,21867,3028,12705,4986,3130,2979,12778,3167,6618,5938,3342,4365,54874,6651,14390,2192,45052,99949,99726,11414,228,55050,40606,3031,25839,14706,611,154,1068,437,43894,10425,5541,948,706,9454,52243,20229 
British Virgin Islands,,104,4,16,2,11,0,2,0,0,24,11,4,0,0,1,0,7,1,2,18,0,0,0,0,0,0,2,0,0,0,0,2,0,16,1,1,0,0,0,1,3,0,2,1,0,0,0,1,1,2,0,2,10,0,0,0,7,9,2,0,0,6,1,0,3,0,0,0,0,0,2,0,14,0,0,0,0,2 
Brunei Darussalam,414400,1208,64,259,9,118,4,31,0,0,335,101,33,6,9,38,1,16,21,101,62,1,12,0,0,0,0,39,0,0,0,3,0,0,252,20,5,8,33,26,6,45,,22,7,5,5,7,0,18,4,7,3,100,0,,1,38,137,99,,0,28,54,4,5,,,0,1,0,25,3,7,1,1,5,0,20 
Bulgaria,7534289,110165,602,16672,133,1804,89,976,2,6,74392,4069,3279,32,42,1177,6,283,169,3396,3036,22,198,1,0,0,6,253,1,1,10,33,7,1,16562,351,188,1273,2455,724,1003,3294,291,1106,359,367,392,783,485,393,443,110,103,1754,8,158,43,6920,13330,21970,3934,11,1412,1230,248,1683,1154,11,0,6,0,734,274,137,72,117,859,113,730 
Canada,34126173,240075,5316,73239,928,9580,12730,12118,6,11,67701,20757,9481,412,1478,5581,24,1130,901,2424,16258,1648,90,1,1,1,14,2257,4,28,0,486,336,4,71886,1150,1797,1883,7822,2099,3873,19314,1359,4978,372,919,1637,3833,1955,3958,2373,1353,480,6942,202,18291,424,2507,34936,13706,3269,77,5023,10757,399,3185,4135,94,1,14,6,2711,4071,278,224,1573,3951,524,2926 
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Cayman Islands,,151,4,32,1,9,0,9,0,0,43,10,4,3,0,4,0,1,2,6,23,0,0,0,0,0,0,4,0,0,0,0,0,0,32,3,0,0,2,1,0,8,0,4,0,1,1,7,0,1,1,0,0,6,0,3,0,12,10,7,3,0,6,1,0,2,2,0,0,0,0,6,1,2,0,0,1,9,4 
Chile,17015048,97930,1944,24093,420,4821,2584,3272,0,1,27158,9993,7051,302,490,3191,46,853,859,2466,8386,237,536,6,0,7,7,394,4,14,0,54,435,0,23137,199,645,3316,1896,984,1107,2674,434,1297,578,274,423,1924,466,1090,625,956,330,3684,604,3786,153,3976,7789,8888,942,16,3928,3500,171,4285,2228,1,6,23,16,2170,837,375,422,282,2001,779,1520 
Colombia,45918101,200522,6158,36032,865,9598,165,3206,0,8,59398,21108,10253,1169,2194,5512,474,3958,2665,4152,33597,716,971,28,0,2,9,935,35,6,0,116,2432,41,33687,440,670,4526,2735,1678,1309,3994,655,2394,1634,472,699,2449,427,1523,1678,2345,454,6859,1758,476,233,6359,29394,13661,1566,9,6475,11226,656,2611,3616,176,38,259,163,6114,1218,964,88,135,2118,18438,4522 
Costa Rica,4545273,18988,383,4451,57,868,188,517,0,0,5599,1727,1375,80,162,525,14,330,287,166,2259,78,47,0,0,0,0,46,7,1,0,14,138,0,4218,54,56,604,382,225,201,279,79,296,133,54,77,412,61,272,231,233,33,769,35,307,52,771,2578,1207,153,2,458,901,62,631,414,10,0,8,6,611,83,126,19,54,311,485,570 
Croatia,4417781,52096,337,13698,39,1459,1001,790,0,0,25631,1957,2459,16,126,871,4,113,118,509,2968,22,82,2,0,1,3,147,0,0,0,44,11,0,13482,326,202,839,1931,482,670,2768,286,983,132,222,288,723,366,506,387,216,22,1424,0,614,66,1638,11264,7610,1620,3,348,1525,240,1284,605,12,0,1,3,500,1058,115,28,130,777,59,301 
Cuba,11308133,91065,895,22747,186,2902,4007,1454,27,13,36731,8510,3421,153,636,794,61,302,378,687,7161,265,45,0,0,0,6,92,2,9,0,163,203,1,22294,668,623,863,2233,744,854,5128,388,1470,439,615,286,2779,628,896,590,453,127,2680,37,3867,190,2751,16630,9789,2727,30,4921,3271,348,1290,632,47,7,31,17,996,2003,224,40,88,1558,505,1747 
Cyprus,834454,5095,59,1156,30,365,68,133,0,0,1928,359,176,26,25,179,1,20,14,263,293,8,1,0,0,0,0,39,0,0,0,2,2,0,1111,11,4,44,96,37,56,187,20,101,7,20,26,83,46,57,46,45,22,312,1,126,19,211,620,384,68,0,70,102,10,57,136,1,0,1,0,84,23,27,3,10,38,4,104 
Czech Republic,10517247,106844,1029,28223,130,2188,222,1064,0,0,53590,6151,4664,98,61,1454,3,171,135,1652,6009,139,39,0,0,0,6,719,1,2,0,29,5,0,27836,670,481,1246,3879,855,1881,5572,489,1655,342,406,640,1348,767,911,803,387,38,1945,50,500,182,2058,25178,11567,7361,68,3262,2155,480,2253,1299,14,0,3,0,907,1370,226,62,325,1502,87,1530 
Denmark,5543819,54027,915,15605,284,1719,3104,1870,0,1,14398,5828,2710,63,350,802,0,84,94,4141,2059,226,33,1,0,0,6,377,0,7,4,19,29,0,15329,342,378,409,1942,379,893,3692,304,1213,114,161,380,1176,536,576,442,276,215,1248,16,3036,64,891,5091,3840,890,4,1952,3330,418,999,528,17,0,0,0,290,466,29,66,196,563,42,407 
Dominica,,589,12,136,9,53,5,11,0,0,184,42,23,12,2,9,2,17,5,11,56,0,0,0,0,0,0,6,0,0,0,0,3,0,131,2,4,9,9,7,10,14,0,17,1,3,1,32,3,3,0,5,8,39,1,4,1,35,37,49,4,0,20,19,3,3,4,4,1,1,0,7,3,7,1,4,3,16,15 
Dominican Republic,,29086,1425,4313,166,1373,68,395,0,0,10446,2627,1120,14,81,342,40,855,294,1248,4167,133,310,15,1,0,7,202,5,0,0,42,515,3,4150,192,73,270,274,323,150,481,76,322,190,94,37,784,32,106,142,163,128,1238,66,113,23,1338,4675,3156,168,7,975,675,136,700,305,20,2,25,13,1517,30,24,36,1,210,909,1440 
Ecuador,14934692,61616,2538,9600,447,4764,190,1087,0,2,13551,5634,3679,35,268,1663,202,1618,694,5773,9871,248,548,9,0,0,0,790,5,1,0,35,727,4,9295,109,90,1566,617,692,343,706,183,470,330,392,164,868,91,450,520,305,382,4015,474,213,85,4307,1994,3159,426,22,3339,1209,250,1932,1562,62,7,156,39,3316,423,436,81,196,912,2322,2185 
Egypt,82040994,491609,16445,30923,5372,10557,423,4472,67,8,222186,33983,55828,273,144,16794,519,3572,6971,63835,19237,4613,473,84,1,2,20,2556,23,16,24,6966,5,1,27692,388,269,1317,1180,5592,852,3031,37,2111,117,310,173,607,1677,130,2751,3231,617,4750,215,474,873,26092,14213,38019,17538,22,11697,4206,212,51850,16583,77,17,487,9,7398,926,1233,160,104,48,75,9293 
El Salvador,6038306,32586,1180,3422,161,1840,417,720,0,0,6039,2616,1467,70,157,2659,19,265,311,5486,5757,144,70,0,0,0,0,576,0,0,0,12,336,0,3413,53,64,480,172,243,123,215,26,157,214,125,55,187,28,75,172,9,144,1450,257,39,0,611,2144,947,28,3,1458,608,145,843,2464,48,1,17,1,1105,278,223,33,160,399,3381,178 
Estonia,1331475,15781,119,3607,12,177,129,254,0,0,8750,425,614,17,49,121,1,23,32,316,1135,3,41,0,0,0,0,7,2,0,0,2,42,0,3550,133,62,289,409,103,215,641,89,227,71,52,93,256,106,152,116,57,6,152,2,126,37,1848,4323,1348,294,1,142,237,72,292,99,7,0,1,0,98,92,90,79,220,223,62,271 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Finland,5363352,50910,436,11881,57,606,2355,5369,0,0,20587,1988,2460,28,234,419,3,58,150,279,4000,74,48,0,0,0,4,175,2,6,0,4,7,0,11580,192,254,489,1136,429,995,2214,233,886,55,189,362,845,252,760,310,301,25,456,2,6294,58,947,11767,4235,1076,5,426,1186,174,1220,329,20,0,3,0,343,1185,147,79,704,954,102,486 
France,62932343,541576,10780,159493,2252,19339,17894,32250,7,25,143144,32028,23473,1425,3683,9787,68,1334,1472,45317,37805,1596,589,4,0,3,27,4268,3,42,4,657,458,21,152841,4074,3926,4565,16993,8026,9253,29653,2453,11812,745,2401,3495,9048,5064,7683,5542,6652,1298,10725,2807,31420,1437,9002,35531,31810,8774,83,10351,9054,873,8163,7631,138,2,51,15,4023,5932,1046,517,1847,10379,405,13656 
French Guiana,233795,771,40,131,3,20,15,25,0,0,145,22,36,3,3,12,3,26,22,148,117,3,3,0,0,0,0,6,0,0,0,0,16,1,120,5,3,8,9,3,3,17,1,14,3,1,3,15,0,13,5,11,2,14,0,12,0,27,22,46,6,1,7,6,1,17,8,0,0,3,0,27,5,16,2,7,16,20,24 
Georgia,4469200,47864,207,2853,54,475,22,401,0,0,14426,542,776,0,13,152,13,534,19,26332,1045,7,88,1,0,0,1,71,0,0,0,10,2,0,2850,60,16,228,137,163,70,392,43,205,60,75,33,106,52,57,65,3,50,470,0,6,19,328,3202,4694,220,11,159,54,60,573,144,1,1,9,3,173,9,52,13,24,113,15,646 
Germany,81757471,858768,15396,225155,2574,29233,25079,21850,4,14,352689,60515,42684,1141,2937,19768,37,1192,1572,23616,33312,3005,350,2,2,0,43,7943,11,32,2,980,455,5,218899,5020,4979,10177,25999,7390,15488,43008,3332,17466,1524,2433,5599,12676,5516,10316,7248,6256,1298,23131,239,24198,2337,32266,133126,61550,19240,47,19727,29149,2863,15413,15633,132,0,31,4,3942,9479,393,373,678,10030,482,7935 
Greece,11307557,109084,1076,27177,,,98,1529,0,0,47706,10341,2576,31,548,1898,6,185,256,10414,3554,0,71,3,0,0,3,871,0,1,0,75,18,1,27159,259,216,1259,2378,298,1459,6407,375,2028,174,304,490,1558,1031,855,1091,18,59,1075,0,631,4,1565,11332,14910,761,55,952,2413,374,766,1716,0,1,5,0,1430,438,410,89,288,377,165,357 
Grenada,104677,828,23,164,15,111,1,13,0,0,291,72,28,13,2,21,0,12,3,17,42,1,1,0,0,0,0,6,0,0,0,0,9,0,157,7,7,9,14,2,5,9,2,11,6,8,1,39,2,10,2,7,12,100,3,4,1,44,83,84,16,0,43,13,0,5,8,5,0,0,0,6,6,6,0,1,0,0,23 
Guadeloupe,456822,3018,105,727,16,191,76,134,0,0,780,137,132,12,20,63,1,21,12,330,261,6,4,0,0,0,1,29,0,0,0,3,14,0,691,18,11,51,63,26,43,65,9,50,9,30,10,117,10,49,19,36,14,143,9,96,5,120,84,246,38,3,68,20,7,37,45,0,0,1,0,60,28,22,6,10,44,22,69 
Guatemala,14732261,72748,4887,7664,826,7233,751,1465,0,3,10266,9502,5243,45,238,2400,355,2800,992,5056,13022,2564,329,7,0,9,0,1012,5,4,0,54,581,12,7270,95,92,1506,197,1128,218,383,102,240,426,359,65,505,31,150,429,394,651,4646,1994,133,23,839,4016,2692,185,10,7431,968,659,2862,2237,70,21,333,1,1027,8,190,31,595,354,5482,5335 
Guyana,753362,5433,527,456,80,547,9,77,0,0,1985,343,347,3,6,104,20,95,44,46,744,63,124,0,0,0,0,109,1,0,0,0,194,19,436,9,6,15,29,18,20,31,0,51,35,13,11,76,7,13,18,20,72,425,48,9,9,373,618,604,11,0,210,76,39,195,94,3,3,17,0,94,6,75,21,2,206,112,228 
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Honduras,,5867,497,430,60,490,16,111,1,0,1103,572,391,25,29,144,28,929,386,59,596,118,83,8,0,1,0,57,0,0,0,5,148,1,388,2,5,42,24,34,12,31,1,13,19,3,7,6,7,33,58,42,41,394,75,1,27,174,299,355,21,1,223,246,16,220,117,7,0,20,8,99,36,1,5,14,111,68,262 
Hong Kong SAR,7024200,42699,1162,13344,117,650,777,368,0,0,10830,8567,1497,202,152,2011,1,50,76,1021,1864,42,191,0,0,0,0,826,3,1,0,21,14,0,13076,497,332,686,1864,1530,473,3696,56,561,146,118,164,319,192,487,288,268,63,522,8,821,101,760,4643,3423,433,64,5814,2093,106,498,1536,12,0,1,0,148,198,39,8,167,1008,37,259 
Hungary,10000024,130456,521,33080,231,2949,2819,1723,0,5,65819,6254,7739,115,412,889,14,299,361,153,7073,152,154,0,0,0,4,72,0,8,0,30,10,0,32462,1524,605,1626,4965,747,1848,8648,530,2011,379,386,675,1209,904,875,912,618,129,2559,16,2921,260,6767,33842,14001,3168,8,742,4821,766,4622,692,81,2,8,4,977,1944,203,140,137,2492,152,1028 
Iceland,318041,2019,13,583,0,26,52,172,0,1,724,196,60,2,5,24,0,4,6,14,137,2,2,0,0,0,1,8,0,0,0,0,0,0,570,7,19,27,52,18,31,144,15,24,4,9,14,50,18,26,17,13,0,24,0,162,0,41,358,162,28,0,76,99,4,7,18,1,0,0,0,13,21,2,1,12,46,2,40 
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ireland,4617334,27122,258,8165,78,670,646,1018,1,0,9189,3180,1065,49,181,642,3,119,178,79,1601,32,35,0,0,0,7,104,0,0,0,26,14,1,7971,127,325,326,917,244,477,1655,218,634,89,85,283,521,186,400,216,194,40,487,8,1000,53,318,4625,2015,431,1,1104,1293,75,359,434,17,0,3,0,186,224,31,43,277,486,38,316 
Israel,7623561,39418,1642,10693,275,2961,1150,1237,0,2,10143,2907,1357,385,263,1934,7,292,257,1932,1981,216,27,0,0,0,4,1167,0,2,0,87,22,2,10380,107,113,485,1368,283,810,1803,322,963,69,170,310,380,333,727,543,313,167,2280,44,1502,179,783,4299,2280,393,4,825,1134,36,364,1540,14,0,6,1,409,133,54,43,3,480,158,701 
Italy,60483386,584615,9621,175046,2752,25766,14659,22398,35,21,221617,38798,23808,889,3081,10405,16,1114,1338,9220,24031,415,373,17,0,1,16,4376,13,37,0,2757,852,4,167253,2745,1871,10075,18863,9419,10512,33734,2391,12115,399,2425,3193,7509,5701,8207,5848,7793,1926,20620,375,24572,2105,28665,72498,60773,8094,247,7239,21542,750,9399,8969,198,0,16,0,4546,3188,374,191,449,3989,466,10828 
Jamaica,2741253,15440,787,3266,181,2278,109,351,1,0,5029,922,445,116,87,386,28,435,143,166,705,7,10,1,0,0,0,168,2,0,0,8,506,0,3124,53,61,199,273,84,83,345,13,300,158,89,63,590,48,203,104,142,131,2051,45,195,21,1081,1045,2057,127,1,249,406,71,124,196,66,4,24,0,103,9,9,6,4,3,43,528 
Japan,126381728,1197012,25863,363663,4314,21684,8049,19429,5,19,341882,187609,45503,1319,5606,32874,49,639,2194,60346,75965,2313,3639,14,0,0,3,10676,11,15,0,5614,61,0,353506,6802,11867,50136,44620,32765,28017,69813,1404,12455,2664,3266,4654,10722,6804,14466,8078,10157,1812,14422,1666,12396,2435,6760,77217,123461,18652,161,118888,19823,3233,16216,28371,100,3,31,11,7222,7517,6948,1338,862,29564,437,22077 
Jordan,,15731,300,2461,91,1304,5,322,0,0,5670,830,430,18,52,403,46,1054,738,467,1540,25,20,0,0,0,0,186,0,0,0,51,0,1,2343,46,21,115,251,76,128,377,14,235,16,31,35,97,74,151,182,118,50,1204,3,29,21,1524,1967,1412,53,2,430,256,24,158,374,7,0,43,3,670,58,64,66,40,19,137,486 
Kazakhstan,16323287,145873,2556,17935,165,1296,297,1816,1,1,65945,7108,7808,81,171,1314,65,3617,1480,16471,17746,65,1730,0,0,0,34,371,3,1,0,46,178,0,17780,496,1127,2227,1664,986,886,3040,,1392,633,303,466,370,291,213,507,154,89,1102,65,,403,3392,19431,19500,,14,2469,3904,483,5741,,,4,42,19,3379,538,1062,329,2297,3617,1464,5060 
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Kuwait,3566437,5448,169,730,20,204,1,73,0,0,2290,355,155,8,4,157,3,217,264,106,692,5,36,0,0,0,0,89,0,0,0,32,2,1,722,11,8,22,85,61,39,82,2,100,6,16,14,24,17,37,60,8,10,187,1,5,6,148,1195,523,25,12,252,60,7,76,142,0,0,3,0,377,64,27,22,17,40,21,124 
Kyrgyzstan,5447960,36174,929,3239,51,343,71,495,0,1,17643,2861,2461,19,121,721,75,2107,506,577,3954,132,603,0,0,2,12,30,5,0,0,37,45,0,3200,98,135,600,193,235,137,437,46,202,194,54,91,58,41,45,122,39,36,310,6,18,199,298,10874,5327,191,83,849,1759,84,2089,708,2,2,48,25,875,97,325,54,489,500,337,1277 
Latvia,2097555,30079,247,6127,29,588,254,262,0,1,16279,663,1046,45,90,306,4,58,64,1908,2108,5,85,0,0,0,1,30,0,0,0,34,58,0,6037,149,135,498,680,136,384,1005,138,424,142,137,218,363,200,233,168,90,19,538,1,182,58,815,8591,4660,546,1,307,285,133,460,266,27,1,3,0,255,140,233,156,184,438,139,563 
Lithuania,3097282,42120,481,8255,47,312,87,597,1,1,23627,1280,2217,39,94,318,2,65,102,550,4045,6,222,1,0,0,8,175,0,1,0,25,18,0,8110,275,163,681,953,189,446,1302,172,576,243,144,288,577,248,276,265,145,26,277,0,226,125,576,15112,5759,392,3,395,791,268,1117,271,26,0,2,0,372,305,319,93,543,1018,172,1223 
Luxembourg,506966,3621,88,1040,18,97,90,148,0,0,1228,266,164,7,16,71,1,9,9,112,257,4,1,0,0,0,0,68,0,0,0,4,1,0,1020,13,28,41,127,48,61,199,15,92,5,12,21,38,42,49,44,20,12,69,2,136,6,34,315,328,56,1,79,127,4,80,61,1,0,1,0,25,53,3,1,11,54,11,99 
Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Maldives,332575,1141,29,93,13,50,4,26,0,0,483,103,28,4,2,43,7,56,24,123,53,1,7,0,0,0,0,18,0,0,0,1,0,0,89,8,3,1,1,9,3,8,0,5,2,1,4,0,1,5,3,4,9,29,2,1,2,209,88,56,0,0,8,51,2,17,38,1,0,5,2,6,7,13,1,0,1,2,23 
Malta,414562,3010,5,866,8,114,123,74,0,0,1151,293,93,28,11,64,1,8,19,33,119,0,1,0,0,0,0,3,0,0,0,0,1,0,852,19,9,31,111,23,73,159,9,79,2,17,37,30,33,38,34,14,4,103,0,129,7,33,647,263,44,1,71,90,5,22,51,0,0,1,0,16,35,2,1,6,31,4,24 
Martinique,394690,2854,111,778,10,183,77,201,0,0,734,144,107,9,15,57,0,23,7,232,166,7,1,0,0,0,0,30,0,0,0,4,9,0,748,20,13,64,95,30,51,72,3,38,9,18,7,120,17,44,40,30,5,127,9,153,0,85,97,245,49,4,71,19,3,32,40,1,0,0,0,33,18,10,3,8,26,22,46 
Mauritius,1243084,8891,248,1033,72,2173,75,139,0,0,2865,730,398,33,28,188,4,94,54,202,555,28,11,0,0,0,0,94,1,0,0,13,70,1,993,43,37,74,97,46,59,130,6,108,24,37,33,72,12,23,36,40,56,2097,24,31,12,466,1067,744,15,1,218,239,18,247,171,3,1,2,1,160,43,41,22,2,98,50,139 
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mexico,118617542,578572,16866,73324,4724,97413,4272,10194,13,32,137874,49995,53911,1657,4911,16999,1030,14210,9027,11989,69836,3152,2519,19,0,19,9,3942,7,17,0,1183,4821,4,68957,1017,929,5506,3984,5288,3565,6634,1440,4969,3868,745,1812,5407,909,3525,3901,4367,3670,81380,8448,2744,925,17333,69075,31621,2091,142,14881,24919,2449,31838,13647,649,92,639,248,16608,2177,2422,624,1049,4899,24777,17280 
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Montserrat,,40,2,1,0,15,0,0,0,0,17,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,2,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0 
Morocco,,52445,1901,5273,330,2737,149,1208,0,0,10067,2379,1419,43,96,1366,64,4500,570,16726,3617,137,558,7,0,2,12,803,18,1,0,235,32,0,4840,117,32,311,219,273,165,757,28,361,92,135,50,242,133,159,217,433,261,2422,17,110,80,1176,670,2292,55,8,720,557,68,661,1226,21,1,63,1,514,43,260,10,88,37,81,2584 
Netherlands,16615394,136058,2104,43521,432,3845,7616,4698,1,5,39009,13016,5266,409,877,3472,4,356,452,5226,5749,160,54,0,0,0,8,1103,1,4,0,55,50,4,42363,609,1642,1450,5111,722,2481,10214,877,3213,205,425,1065,2593,1228,1886,1218,1158,320,3002,96,9059,9,1065,10382,8839,3202,24,5053,6063,184,940,1828,53,0,3,1,710,1624,80,39,113,1604,149,1430 
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
New Zealand,4367360,28649,259,8667,58,990,924,1116,0,4,10175,2457,858,80,221,413,6,174,179,116,1952,62,17,1,0,1,6,88,0,5,0,27,16,0,8476,116,221,253,1208,205,435,1650,454,641,52,100,212,589,175,459,289,191,34,774,9,1385,144,333,5389,2467,438,9,449,1656,70,142,298,19,0,2,3,466,526,57,17,98,536,54,198 
